Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Location,Discount_Applied,Return_Flag,Order_Amount,Payment_Method_Debit Card,Payment_Method_Gift Card,Payment_Method_PayPal,Shipping_Method_Next-Day,Shipping_Method_Standard,Product_Category_Clothing,Product_Category_Electronics,Product_Category_Home,Product_Category_Toys,User_Gender_Male,Return_Prob
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,85.69,2,Changed mind,Returned,-418.0,30,City26,24.58,1,171.38,True,False,False,False,True,False,False,False,False,False,0.500347001557404
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,227.2,5,Wrong item,Returned,-304.0,65,City90,27.94,1,1136.0,False,True,False,True,False,False,False,False,False,False,0.5127770785310612
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,57.14,2,Wrong item,Returned,-159.0,41,City28,43.06,1,114.28,False,True,False,False,True,False,True,False,False,False,0.5307713102361689
ORD00000025,PROD00000025,USER00000025,2024-11-22,,371.15,5,,Not Returned,,58,City83,18.68,0,1855.75,False,True,False,False,True,False,True,False,False,False,0.5016783576296449
ORD00000031,PROD00000031,USER00000031,2023-12-09,,481.73,5,,Not Returned,,28,City79,20.03,0,2408.65,False,False,False,True,False,False,True,False,False,False,0.503491573113426
ORD00000033,PROD00000033,USER00000033,2024-02-03,2023-08-18,335.28,4,Wrong item,Returned,-169.0,18,City20,25.37,1,1341.12,True,False,False,True,False,False,False,True,False,True,0.5057882440158878
ORD00000035,PROD00000035,USER00000035,2024-07-23,,331.26,2,,Not Returned,,46,City95,41.02,0,662.52,False,False,True,False,True,True,False,False,False,False,0.5034641470748767
ORD00000036,PROD00000036,USER00000036,2024-01-07,2023-08-29,115.82,5,Defective,Returned,-131.0,54,City43,23.76,1,579.0999999999999,False,False,False,False,False,False,True,False,False,False,0.5130990492913468
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,246.15,1,Wrong item,Returned,454.0,31,City62,23.63,1,246.15,False,True,False,False,True,True,False,False,False,False,0.5202209732463811
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,105.7,3,Wrong item,Returned,13.0,44,City41,42.07,1,317.1,False,False,False,True,False,True,False,False,False,True,0.5491673300794494
ORD00000045,PROD00000045,USER00000045,2023-11-15,2023-02-05,294.18,2,Changed mind,Returned,-283.0,69,City89,32.7,1,588.36,False,True,False,True,False,False,False,False,True,True,0.5079126697029201
ORD00000049,PROD00000049,USER00000049,2024-03-14,,297.62,4,,Not Returned,,52,City53,16.9,0,1190.48,False,False,False,False,False,True,False,False,False,True,0.5128631531294519
ORD00000054,PROD00000054,USER00000054,2023-02-12,,283.79,2,,Not Returned,,42,City76,30.81,0,567.58,True,False,False,True,False,False,False,True,False,True,0.5137842011987628
ORD00000056,PROD00000056,USER00000056,2024-02-04,,353.51,4,,Not Returned,,39,City24,17.72,0,1414.04,True,False,False,False,True,False,True,False,False,False,0.5021004343090918
ORD00000059,PROD00000059,USER00000059,2023-02-13,,16.37,2,,Not Returned,,32,City65,16.08,0,32.74,False,False,False,True,False,False,True,False,False,True,0.5197876257057048
ORD00000062,PROD00000062,USER00000062,2023-12-12,,195.24,5,,Not Returned,,53,City3,16.1,0,976.2,False,True,False,False,False,True,False,False,False,False,0.5145841355792625
ORD00000063,PROD00000063,USER00000063,2023-11-21,,428.0,1,,Not Returned,,50,City81,12.39,0,428.0,True,False,False,False,True,True,False,False,False,False,0.5100365833786221
ORD00000064,PROD00000064,USER00000064,2024-07-06,2023-03-17,429.41,3,Wrong item,Returned,-477.0,53,City44,13.22,1,1288.23,True,False,False,True,False,False,False,False,False,True,0.5008057220708573
ORD00000066,PROD00000066,USER00000066,2024-09-08,,142.71,2,,Not Returned,,60,City75,19.05,0,285.42,True,False,False,True,False,False,False,False,False,False,0.5052856824519405
ORD00000068,PROD00000068,USER00000068,2023-11-13,2024-06-16,394.08,3,Wrong item,Returned,216.0,62,City28,12.27,1,1182.24,False,False,False,True,False,False,True,False,False,True,0.5109574159372601
ORD00000069,PROD00000069,USER00000069,2024-06-11,,266.88,2,,Not Returned,,65,City3,21.32,0,533.76,True,False,False,True,False,True,False,False,False,False,0.5265347126552861
ORD00000073,PROD00000073,USER00000073,2023-07-10,,283.14,5,,Not Returned,,62,City43,17.53,0,1415.6999999999998,False,False,False,False,True,True,False,False,False,True,0.5130711689972778
ORD00000074,PROD00000074,USER00000074,2024-02-21,,84.9,5,,Not Returned,,67,City43,46.26,0,424.5,False,True,False,True,False,False,False,False,True,False,0.5202556604530801
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,332.39,5,Not as described,Returned,256.0,36,City53,24.31,1,1661.9499999999998,True,False,False,True,False,False,True,False,False,True,0.5226855141375465
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,64.29,2,Not as described,Returned,461.0,39,City57,47.4,1,128.58,True,False,False,False,False,False,False,False,True,True,0.5109796556473227
ORD00000079,PROD00000079,USER00000079,2024-08-07,,231.65,5,,Not Returned,,58,City14,45.83,0,1158.25,True,False,False,False,True,False,True,False,False,True,0.5352383404165044
ORD00000080,PROD00000080,USER00000080,2023-04-02,,44.48,1,,Not Returned,,50,City8,27.66,0,44.48,True,False,False,False,False,False,True,False,False,True,0.5202469138318854
ORD00000081,PROD00000081,USER00000081,2024-03-21,2023-09-13,429.47,5,Defective,Returned,-190.0,39,City10,44.36,1,2147.3500000000004,False,True,False,False,True,True,False,False,False,True,0.5334137709422768
ORD00000082,PROD00000082,USER00000082,2023-03-17,2023-08-31,496.22,5,Changed mind,Returned,167.0,67,City36,32.87,1,2481.1000000000004,False,True,False,True,False,False,True,False,False,True,0.5237192272857594
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,52.19,1,Not as described,Returned,503.0,21,City100,35.14,1,52.19,True,False,False,False,True,False,True,False,False,False,0.5209502054908874
ORD00000085,PROD00000085,USER00000085,2023-04-13,,283.68,3,,Not Returned,,49,City95,38.31,0,851.04,False,False,False,True,False,False,False,True,False,True,0.5160987941640113
ORD00000086,PROD00000086,USER00000086,2024-03-06,,255.78,2,,Not Returned,,63,City52,34.49,0,511.56,False,False,False,True,False,False,False,True,False,False,0.5083264206972293
ORD00000088,PROD00000088,USER00000088,2023-12-12,2023-09-27,78.94,2,Changed mind,Returned,-76.0,23,City1,49.94,1,157.88,False,False,False,False,False,False,True,False,False,False,0.5319102149709578
ORD00000093,PROD00000093,USER00000093,2023-07-29,2024-07-01,230.9,2,Defective,Returned,338.0,69,City10,26.62,1,461.8,False,False,False,True,False,False,False,True,False,True,0.5075789300246744
ORD00000094,PROD00000094,USER00000094,2024-04-03,,296.56,1,,Not Returned,,39,City97,32.02,0,296.56,False,True,False,False,True,True,False,False,False,False,0.5274270512996964
ORD00000100,PROD00000100,USER00000100,2023-10-30,,284.49,4,,Not Returned,,48,City59,39.82,0,1137.96,False,False,False,True,False,True,False,False,False,False,0.5370515496814283
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,169.93,5,Wrong item,Returned,111.0,40,City40,27.73,1,849.6500000000001,False,False,False,True,False,False,False,False,False,True,0.5164363256243553
ORD00000102,PROD00000102,USER00000102,2023-09-21,,146.37,4,,Not Returned,,23,City66,42.55,0,585.48,True,False,False,False,False,False,False,False,False,False,0.5165277941592825
ORD00000103,PROD00000103,USER00000103,2024-09-08,,444.43,4,,Not Returned,,48,City27,28.53,0,1777.72,True,False,False,True,False,False,True,False,False,False,0.5182944366141619
ORD00000106,PROD00000106,USER00000106,2023-09-03,2023-04-04,448.84,2,Changed mind,Returned,-152.0,60,City20,26.3,1,897.68,False,True,False,False,False,False,False,False,False,True,0.505372274064973
ORD00000109,PROD00000109,USER00000109,2024-08-27,,51.56,4,,Not Returned,,37,City95,44.74,0,206.24,False,False,False,False,False,True,False,False,False,True,0.5444148630996463
ORD00000112,PROD00000112,USER00000112,2024-05-12,2023-04-06,259.57,2,Not as described,Returned,-402.0,55,City90,40.28,1,519.14,False,False,False,True,False,True,False,False,False,False,0.5393677366945855
ORD00000113,PROD00000113,USER00000113,2024-03-10,,137.72,3,,Not Returned,,45,City8,1.13,0,413.15999999999997,True,False,False,False,True,True,False,False,False,True,0.5071764329151426
ORD00000114,PROD00000114,USER00000114,2023-01-07,,464.67,4,,Not Returned,,54,City26,19.21,0,1858.68,False,True,False,False,True,False,True,False,False,True,0.5065738679508391
ORD00000115,PROD00000115,USER00000115,2024-06-07,2023-06-01,197.66,4,Not as described,Returned,-372.0,59,City9,42.31,1,790.64,False,False,False,True,False,False,False,False,True,False,0.5071995299087894
ORD00000117,PROD00000117,USER00000117,2024-02-04,2024-09-17,265.23,4,Changed mind,Returned,226.0,57,City89,49.85,1,1060.92,False,False,False,True,False,False,True,False,False,True,0.5446266614480002
ORD00000118,PROD00000118,USER00000118,2023-12-04,2023-07-01,91.84,2,Not as described,Returned,-156.0,56,City7,31.58,1,183.68,False,False,False,True,False,False,False,False,False,False,0.5131497603015407
ORD00000119,PROD00000119,USER00000119,2023-04-13,,468.62,2,,Not Returned,,31,City27,46.77,0,937.24,False,True,False,True,False,True,False,False,False,True,0.5528960247802521
ORD00000121,PROD00000121,USER00000121,2023-09-06,,116.2,2,,Not Returned,,37,City69,48.36,0,232.4,False,True,False,True,False,False,False,False,True,True,0.5227202830263118
ORD00000123,PROD00000123,USER00000123,2024-07-04,2023-11-02,490.8,2,Changed mind,Returned,-245.0,37,City23,43.37,1,981.6,False,False,False,False,False,False,True,False,False,False,0.5226454098190244
ORD00000125,PROD00000125,USER00000125,2024-12-20,,247.46,2,,Not Returned,,48,City52,19.97,0,494.92,False,True,False,True,False,False,False,True,False,True,0.5062442491262796
ORD00000128,PROD00000128,USER00000128,2023-12-01,,170.05,2,,Not Returned,,23,City56,35.55,0,340.1,True,False,False,False,False,True,False,False,False,True,0.534883837187574
ORD00000130,PROD00000130,USER00000130,2024-02-25,,319.34,1,,Not Returned,,54,City76,18.74,0,319.34,False,True,False,True,False,False,True,False,False,True,0.5249579256257677
ORD00000131,PROD00000131,USER00000131,2024-05-24,2023-10-10,219.29,2,Changed mind,Returned,-227.0,56,City6,32.59,1,438.58,False,False,False,False,False,False,False,False,False,True,0.5083449527022773
ORD00000137,PROD00000137,USER00000137,2024-07-17,2024-01-13,285.21,4,Not as described,Returned,-186.0,32,City44,40.21,1,1140.84,True,False,False,True,False,False,True,False,False,True,0.539033217560275
ORD00000138,PROD00000138,USER00000138,2023-08-01,,238.63,2,,Not Returned,,46,City27,20.89,0,477.26,False,False,False,False,False,True,False,False,False,False,0.5131374608719135
ORD00000139,PROD00000139,USER00000139,2024-04-09,2023-10-13,16.55,4,Changed mind,Returned,-179.0,21,City32,22.61,1,66.2,False,False,False,False,False,False,False,False,False,False,0.5008935981029083
ORD00000140,PROD00000140,USER00000140,2024-10-09,2023-10-15,161.94,5,Changed mind,Returned,-360.0,68,City61,35.96,1,809.7,False,True,False,False,True,False,False,True,False,False,0.5066002704879575
ORD00000141,PROD00000141,USER00000141,2023-07-29,2024-05-13,173.42,1,Wrong item,Returned,289.0,33,City34,26.04,1,173.42,False,True,False,False,False,True,False,False,False,False,0.521996309355717
ORD00000144,PROD00000144,USER00000144,2024-08-03,2024-05-16,288.71,3,Defective,Returned,-79.0,60,City57,42.11,1,866.1299999999999,False,False,False,False,False,False,False,False,True,True,0.5004093779434734
ORD00000145,PROD00000145,USER00000145,2023-10-10,,66.65,2,,Not Returned,,58,City90,38.8,0,133.3,False,False,True,False,False,True,False,False,False,False,0.5039695185058197
ORD00000146,PROD00000146,USER00000146,2024-10-12,,328.09,3,,Not Returned,,59,City29,8.73,0,984.27,False,True,False,True,False,True,False,False,False,False,0.5152623231031536
ORD00000148,PROD00000148,USER00000148,2024-10-27,,404.5,1,,Not Returned,,31,City77,44.89,0,404.5,False,True,False,False,False,False,False,False,True,False,0.5036776417090751
ORD00000151,PROD00000151,USER00000151,2023-10-01,,140.06,1,,Not Returned,,42,City40,33.08,0,140.06,False,True,False,True,False,False,False,False,True,True,0.5087471568288232
ORD00000152,PROD00000152,USER00000152,2024-07-19,,255.92,1,,Not Returned,,18,City81,33.02,0,255.92,True,False,False,False,True,False,False,True,False,False,0.5006370090425646
ORD00000154,PROD00000154,USER00000154,2024-08-07,,27.23,3,,Not Returned,,42,City56,49.27,0,81.69,False,False,False,False,False,False,True,False,False,True,0.5396921152872998
ORD00000155,PROD00000155,USER00000155,2024-06-27,2023-01-29,332.49,4,Changed mind,Returned,-515.0,66,City43,34.21,1,1329.96,False,False,False,False,False,False,False,False,False,False,0.5001432251371695
ORD00000158,PROD00000158,USER00000158,2023-07-08,,24.41,5,,Not Returned,,69,City4,22.26,0,122.05,False,False,False,True,False,False,False,False,False,True,0.5184336407450888
ORD00000159,PROD00000159,USER00000159,2023-09-15,2024-08-25,217.79,4,Defective,Returned,345.0,40,City62,34.27,1,871.16,False,False,True,False,False,True,False,False,False,True,0.5043321433305574
ORD00000160,PROD00000160,USER00000160,2023-11-04,2024-09-28,434.66,2,Not as described,Returned,329.0,19,City81,49.39,1,869.32,True,False,False,False,True,True,False,False,False,False,0.5384943046290567
ORD00000164,PROD00000164,USER00000164,2024-06-02,2024-10-02,128.65,1,Changed mind,Returned,122.0,37,City62,1.9,1,128.65,True,False,False,True,False,False,True,False,False,False,0.5032923679763106
ORD00000165,PROD00000165,USER00000165,2023-10-01,2024-08-01,396.48,5,Wrong item,Returned,305.0,69,City36,39.19,1,1982.4,True,False,False,False,False,False,False,False,False,True,0.5088125597824277
ORD00000166,PROD00000166,USER00000166,2023-03-14,,300.03,1,,Not Returned,,42,City90,46.37,0,300.03,False,False,False,True,False,False,False,False,False,True,0.5303887315782309
ORD00000170,PROD00000170,USER00000170,2023-12-01,2024-05-09,118.2,5,Changed mind,Returned,160.0,32,City93,43.34,1,591.0,False,True,False,False,True,True,False,False,False,True,0.5466081225131575
ORD00000172,PROD00000172,USER00000172,2024-08-26,2024-11-14,47.05,3,Not as described,Returned,80.0,43,City29,45.62,1,141.14999999999998,False,True,False,False,False,False,False,False,True,False,0.5072577020755987
ORD00000173,PROD00000173,USER00000173,2023-06-05,2024-09-28,9.03,5,Not as described,Returned,481.0,39,City35,37.1,1,45.15,False,False,False,False,True,False,False,False,True,True,0.5071095001599084
ORD00000175,PROD00000175,USER00000175,2024-09-10,2024-01-24,381.39,1,Changed mind,Returned,-230.0,24,City75,45.86,1,381.39,True,False,False,True,False,True,False,False,False,False,0.5480820195379553
ORD00000179,PROD00000179,USER00000179,2024-01-12,2023-01-04,80.81,5,Not as described,Returned,-373.0,61,City23,30.75,1,404.05,False,True,False,False,True,False,True,False,False,True,0.530662206608902
ORD00000180,PROD00000180,USER00000180,2023-05-20,,233.21,1,,Not Returned,,54,City39,2.79,0,233.21,True,False,False,False,True,True,False,False,False,False,0.5013641869915552
ORD00000182,PROD00000182,USER00000182,2023-10-31,2024-09-25,69.89,4,Wrong item,Returned,330.0,41,City27,32.4,1,279.56,False,False,False,False,False,True,False,False,False,True,0.5334697455128072
ORD00000186,PROD00000186,USER00000186,2024-05-31,2023-04-26,360.81,3,Wrong item,Returned,-401.0,61,City10,49.0,1,1082.43,False,False,True,True,False,True,False,False,False,True,0.5239011125092258
ORD00000188,PROD00000188,USER00000188,2023-07-26,2024-03-24,356.89,2,Defective,Returned,242.0,36,City33,32.57,1,713.78,True,False,False,False,True,True,False,False,False,False,0.5250807615578915
ORD00000189,PROD00000189,USER00000189,2024-10-08,,406.41,1,,Not Returned,,36,City66,49.99,0,406.41,True,False,False,False,False,True,False,False,False,True,0.5471500196288015
ORD00000190,PROD00000190,USER00000190,2023-02-22,,55.35,3,,Not Returned,,62,City45,30.11,0,166.05,True,False,False,False,False,False,False,False,False,False,0.5071646504701263
ORD00000191,PROD00000191,USER00000191,2023-12-08,2023-04-02,323.29,1,Not as described,Returned,-250.0,55,City61,40.46,1,323.29,False,True,False,False,False,False,False,False,True,True,0.5053600758161102
ORD00000192,PROD00000192,USER00000192,2024-09-23,,178.98,4,,Not Returned,,27,City43,21.41,0,715.92,False,False,False,True,False,True,False,False,False,True,0.5307379163519835
ORD00000194,PROD00000194,USER00000194,2024-01-08,2023-05-10,136.22,2,Wrong item,Returned,-243.0,20,City4,25.96,1,272.44,False,False,False,False,False,True,False,False,False,False,0.5183394638229248
ORD00000196,PROD00000196,USER00000196,2024-04-10,2023-05-26,6.5,5,Wrong item,Returned,-320.0,51,City74,23.83,1,32.5,False,False,False,False,False,False,True,False,False,True,0.5237683916212453
ORD00000197,PROD00000197,USER00000197,2023-01-28,,124.46,4,,Not Returned,,63,City69,49.97,0,497.84,True,False,False,False,True,False,True,False,False,True,0.542473732124638
ORD00000198,PROD00000198,USER00000198,2024-02-08,,13.04,5,,Not Returned,,44,City32,32.34,0,65.19999999999999,False,False,False,True,False,False,False,True,False,False,0.5160064757092238
ORD00000200,PROD00000200,USER00000200,2024-06-24,,82.57,5,,Not Returned,,62,City75,44.8,0,412.84999999999997,False,False,False,True,False,True,False,False,False,False,0.5494700400571186
ORD00000201,PROD00000201,USER00000201,2023-06-05,,47.64,1,,Not Returned,,19,City93,33.04,0,47.64,False,True,False,True,False,False,True,False,False,True,0.5361576451876958
ORD00000203,PROD00000203,USER00000203,2024-04-14,,325.87,4,,Not Returned,,60,City26,27.15,0,1303.48,False,False,False,False,False,True,False,False,False,True,0.5205528839668083
ORD00000204,PROD00000204,USER00000204,2023-04-25,2024-06-19,362.81,5,Not as described,Returned,421.0,37,City12,21.11,1,1814.05,False,True,False,False,False,True,False,False,False,True,0.5168519678311516
ORD00000205,PROD00000205,USER00000205,2024-12-28,,317.9,4,,Not Returned,,68,City98,29.84,0,1271.6,False,False,False,True,False,False,False,True,False,True,0.5069764753402799
ORD00000207,PROD00000207,USER00000207,2024-08-29,,279.06,5,,Not Returned,,54,City43,42.67,0,1395.3,True,False,False,False,False,False,False,True,False,True,0.5112949922558895
ORD00000209,PROD00000209,USER00000209,2024-07-20,2023-10-22,358.69,5,Wrong item,Returned,-272.0,68,City37,49.22,1,1793.45,False,True,False,False,True,False,True,False,False,False,0.5279577667906775
ORD00000210,PROD00000210,USER00000210,2023-06-22,,321.88,1,,Not Returned,,60,City70,13.48,0,321.88,False,False,False,False,False,True,False,False,False,False,0.5074449616045905
ORD00000211,PROD00000211,USER00000211,2023-12-11,2023-02-11,198.21,2,Not as described,Returned,-303.0,67,City59,47.3,1,396.42,True,False,False,True,False,False,False,False,False,False,0.5285610856981222
ORD00000213,PROD00000213,USER00000213,2023-11-07,2024-05-19,488.4,3,Not as described,Returned,194.0,51,City90,19.88,1,1465.1999999999998,True,False,False,False,True,False,True,False,False,False,0.5027515533852617
ORD00000219,PROD00000219,USER00000219,2024-12-14,2024-03-28,393.44,3,Not as described,Returned,-261.0,52,City7,33.6,1,1180.32,False,True,False,False,True,True,False,False,False,True,0.5303454626293007
ORD00000220,PROD00000220,USER00000220,2023-11-09,2023-11-22,128.35,3,Not as described,Returned,13.0,37,City64,15.47,1,385.04999999999995,False,True,False,False,True,True,False,False,False,True,0.5207141269786967
ORD00000222,PROD00000222,USER00000222,2024-01-22,,179.56,2,,Not Returned,,28,City48,45.92,0,359.12,False,False,False,False,False,False,False,True,False,False,0.5085000295994164
ORD00000223,PROD00000223,USER00000223,2023-06-09,2024-05-29,409.65,2,Not as described,Returned,355.0,64,City23,43.1,1,819.3,False,False,False,False,False,True,False,False,False,True,0.5358998071818981
ORD00000227,PROD00000227,USER00000227,2023-09-25,2024-02-09,277.15,1,Wrong item,Returned,137.0,67,City93,46.01,1,277.15,False,False,False,True,False,False,False,False,False,True,0.5300183045772624
ORD00000228,PROD00000228,USER00000228,2023-10-02,,261.91,3,,Not Returned,,65,City70,48.16,0,785.73,False,False,False,False,True,False,False,False,False,True,0.5205213565606335
ORD00000239,PROD00000239,USER00000239,2024-10-03,,150.56,5,,Not Returned,,50,City82,4.04,0,752.8,False,True,False,False,True,True,False,False,False,True,0.5121449307690493
ORD00000241,PROD00000241,USER00000241,2023-03-11,2024-04-30,151.4,1,Changed mind,Returned,416.0,24,City14,39.16,1,151.4,True,False,False,False,False,True,False,False,False,True,0.5373305523155674
ORD00000243,PROD00000243,USER00000243,2024-01-26,2023-02-05,246.71,3,Not as described,Returned,-355.0,18,City47,1.18,1,740.13,False,True,False,False,True,True,False,False,False,True,0.5061688440129191
ORD00000245,PROD00000245,USER00000245,2023-07-17,,478.53,1,,Not Returned,,64,City82,32.12,0,478.53,False,False,False,False,True,False,True,False,False,False,0.5165256342626198
ORD00000246,PROD00000246,USER00000246,2024-02-23,,72.07,3,,Not Returned,,67,City13,39.03,0,216.20999999999998,True,False,False,True,False,True,False,False,False,False,0.5448563113712738
ORD00000247,PROD00000247,USER00000247,2024-08-09,2024-09-04,331.08,3,Defective,Returned,26.0,65,City58,33.08,1,993.24,False,True,False,True,False,False,False,False,True,True,0.5064755415824013
ORD00000248,PROD00000248,USER00000248,2023-06-19,2024-09-05,27.39,3,Changed mind,Returned,444.0,56,City99,42.79,1,82.17,True,False,False,False,False,False,False,False,False,False,0.518438230583631
ORD00000251,PROD00000251,USER00000251,2023-10-27,,14.88,4,,Not Returned,,41,City80,18.97,0,59.52,False,False,False,False,True,False,True,False,False,True,0.5169325574083579
ORD00000256,PROD00000256,USER00000256,2024-08-27,,80.4,4,,Not Returned,,50,City79,9.56,0,321.6,False,True,False,False,False,True,False,False,False,False,0.5126769650863364
ORD00000258,PROD00000258,USER00000258,2024-07-24,,121.7,2,,Not Returned,,25,City56,30.07,0,243.4,False,False,False,False,False,False,False,False,False,True,0.5071108017164769
ORD00000261,PROD00000261,USER00000261,2024-10-21,2023-09-04,409.57,2,Defective,Returned,-413.0,36,City97,29.37,1,819.14,True,False,False,False,True,True,False,False,False,True,0.5275555182984566
ORD00000262,PROD00000262,USER00000262,2023-05-13,2024-11-01,48.49,2,Wrong item,Returned,538.0,27,City77,48.7,1,96.98,False,False,False,False,True,True,False,False,False,True,0.5438969667355718
ORD00000263,PROD00000263,USER00000263,2023-03-25,2024-04-11,365.3,4,Defective,Returned,383.0,70,City60,25.2,1,1461.2,True,False,False,False,True,False,False,False,False,True,0.5003087139696218
ORD00000264,PROD00000264,USER00000264,2023-05-22,,223.1,5,,Not Returned,,25,City78,48.21,0,1115.5,False,True,False,False,False,False,False,False,False,False,0.5198857563606019
ORD00000268,PROD00000268,USER00000268,2023-12-21,,359.03,2,,Not Returned,,46,City49,44.86,0,718.06,False,False,True,False,False,False,True,False,False,True,0.5049418740168099
ORD00000269,PROD00000269,USER00000269,2024-09-19,2024-04-28,385.95,4,Not as described,Returned,-144.0,58,City8,12.61,1,1543.8,True,False,False,False,True,True,False,False,False,True,0.5094995518541818
ORD00000270,PROD00000270,USER00000270,2023-12-21,2023-10-20,354.81,3,Defective,Returned,-62.0,64,City24,29.05,1,1064.43,False,True,False,True,False,True,False,False,False,True,0.5374172135027626
ORD00000271,PROD00000271,USER00000271,2024-09-25,2024-03-26,282.89,1,Defective,Returned,-183.0,21,City85,47.82,1,282.89,True,False,False,False,True,True,False,False,False,False,0.5393871873287196
ORD00000278,PROD00000278,USER00000278,2023-06-06,2024-05-09,161.86,3,Defective,Returned,338.0,39,City12,26.28,1,485.58000000000004,False,False,False,True,False,False,False,False,False,True,0.5143291009622093
ORD00000279,PROD00000279,USER00000279,2024-06-07,2023-07-08,418.05,5,Defective,Returned,-335.0,33,City9,48.85,1,2090.25,False,True,False,False,True,False,False,True,False,False,0.5058313251219639
ORD00000281,PROD00000281,USER00000281,2023-12-08,2023-07-11,12.83,4,Defective,Returned,-150.0,40,City69,15.24,1,51.32,False,False,False,False,False,True,False,False,False,False,0.5152929065900039
ORD00000283,PROD00000283,USER00000283,2024-07-26,2023-07-03,411.49,2,Wrong item,Returned,-389.0,49,City39,21.99,1,822.98,False,True,False,False,True,False,True,False,False,True,0.5154738525331847
ORD00000284,PROD00000284,USER00000284,2024-11-02,2023-06-01,389.91,2,Wrong item,Returned,-520.0,44,City24,35.5,1,779.82,False,False,True,False,False,True,False,False,False,True,0.5039000810766153
ORD00000285,PROD00000285,USER00000285,2024-12-26,2023-09-01,119.65,3,Wrong item,Returned,-482.0,40,City62,19.25,1,358.95000000000005,False,True,False,True,False,True,False,False,False,True,0.5341635240865278
ORD00000287,PROD00000287,USER00000287,2024-05-27,,257.04,5,,Not Returned,,69,City76,42.48,0,1285.2,False,False,False,False,False,False,False,False,True,True,0.5003428964110156
ORD00000291,PROD00000291,USER00000291,2024-05-04,2023-01-07,181.12,5,Changed mind,Returned,-483.0,59,City74,31.29,1,905.6,False,False,False,False,True,True,False,False,False,True,0.5292735482205696
ORD00000295,PROD00000295,USER00000295,2023-03-16,2023-05-09,477.66,3,Defective,Returned,54.0,67,City2,29.89,1,1432.98,False,False,True,True,False,True,False,False,False,True,0.5053315068920665
ORD00000300,PROD00000300,USER00000300,2023-10-29,,296.53,1,,Not Returned,,24,City22,21.71,0,296.53,True,False,False,False,False,True,False,False,False,False,0.5174584352374031
